TagID	NPCID	CreatePosition	CreateType	DefaultInteractIDs	InteractName	InteractShape	InteractScale	FanInteractParam	FocusInteractScale	IgnoreCollider	LookIK	NPCLookIK	SceneSoundID	PlayerRotate	NPCRotate	SceneObjectName	CameraStoryKey	ActionState	ColliderState	ItemState	ObjectIDs	CreateInterval	CreateDelay	NPCIcon	ActionSwitch
1	100171011	Street_NPCPos_ToWorkshop	0	10000001	None	1	1,0,0,0,0	None	3.0	true	true	false	0	false	false	None	Small	0	None	None		0	0	None	None
2	100171011	Street_NPCPos_ToGarage	0	10000002	None	1	1,0,0,0,0	None	3.0	true	true	false	0	false	false	None	Small	0	None	None		0	0	None	None
3	100171011	Workshop_NPCPos_ToStreet	0	10000003	None	1	1,0,0,0,0	None	3.0	true	true	false	0	false	false	None	Small	0	None	None		0	0	None	None
4	100171011	Workshop_NPCPos_ToGarage	0	10000004	None	1	1,0,0,0,0	None	3.0	true	true	false	0	false	false	None	Small	0	None	None		0	0	None	None
5	100171011	Garage_NPCPos_ToStreet	0	10000005	None	1	1,0,0,0,0	None	3.0	true	true	false	0	false	false	None	Small	0	None	None		0	0	None	None
6	100171011	Garage_NPCPos_ToWorkshop	0	10000006	A	1	1,0,0,0,0	None	3.0	true	true	false	0	false	false	None	Small	0	None	None		0	0	None	None
7	100171011	Street_NPCPos_ToGarage2	0	10000016	None	1	1,0,0,0,0	None	3.0	true	true	false	0	false	false	None	Small	0	None	None		0	0	None	None
8	100171011	Garage_NPCPos_ToStreet2	0	10000017	None	1	1,0,0,0,0	None	3.0	true	true	false	0	false	false	None	Small	0	None	None		0	0	None	None
1001	100171011	Workshop_NPCPos_VHS	0	10000010	A	1	1,0,0,0,0	None	3.0	true	true	false	0	false	false	None	Small	0	None	None		0	0	None	None
1002	100171011	Workshop_NPCPos_Hollow	0	10000009	A	1	1,0,0,0,0	None	3.0	true	true	false	0	false	false	None	Middle	0	None	None		0	0	None	None
1003	100171011	Street_NPCPos_Smithy	0	10000007	A	1	1,0,0,0,0	None	3.0	true	true	false	0	false	false	None	Small	0	None	None		0	0	None	None
1004	100171011	Workshop_NPCPos_Gacha	0		A	1	0.75,0,0,0,0	None	3.0	true	true	false	0	false	false	None	Small	0	None	None		0	0	None	None
1005	100171011	Workshop_NPCPos_WorkTable	0	10000014	A	1	1,0,0,0,0	None	3.0	true	true	false	0	false	false	None	Small	0	None	None		0	0	None	None
1006	100171011	Street_NPCPos_Grocery	0		A	1	2,0,0,0,0	None	3.0	true	true	false	0	false	false	None	Small	0	None	None		0	0	None	None
1007	100171011	Workshop_NPCPos_TimeMachine	0	10000020	A	2	0,1.5,2,150,10	None	3.0	true	true	false	0	false	false	None	Small	0	None	None		0	0	None	None
2000	100172011	WorkShop_NPCPos_Noca_Quest10020001	1	20000002	A	1	2,0,0,0,0	None	3.0	true	true	true	0	false	false	None	Middle	3	AvatarCollider:true	None		0	0	None	None
2001	100172011	Garage_NPCPos_Nocha_Quest10020003	1	20000002	A	1	2,0,0,0,0	None	3.0	true	true	true	0	false	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2002	100172031	Garage_NPCPos_Billy_Quest10020003	1	20000002	A	1	2,0,0,0,0	None	3.0	true	true	true	0	false	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2003	100172041	Garage_NPCPos_Anbi_Quest10020003	1	20000002	A	1	2,0,0,0,0	None	3.0	true	true	true	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
