ID	PositionX	PositionY	PositionZ	RotationX	RotationY	RotationZ	Section
Street_Teleport_ToGrocery	-16.73	0.3	-5.624	0.0	180.0	0.0	1
Street_Teleport_ToRamenStore	5.41	0.32	-1.36	0.0	0.0	0.0	1
Street_Teleport_ToAudioVideoStore	18.23	0.36	-9.16	0.0	180.0	0.0	1
Street_PlayerPos_Default	29.125	0.0	-4.375	0.0	270.0	0.0	1
Street_PlayerPos_FromWorkshop	17.541	0.34003	5.481	0.0	193.27106	0.0	1
Street_PlayerPos_FromGarage	12.89	0.34	10.71725	0.0	179.08109	0.0	1
Street_PlayerPos_FromGrocery	-17.177	0.0	0.0	0.0	0.0	0.0	1
Street_NPCPos_ToWorkshop	18.243	0.557	8.079	0.0	209.99998	0.0	1
Street_NPCPos_Smithy	18.208	0.95	-12.138	0.0	180.0	0.0	1
Street_NPCPos_ToGarage	12.83	0.39287	14.673	0.0	180.0	0.0	1
Street_NPCPos_Test	0.75	0.31757	-4.5	0.0	90.0	0.0	1
Street_NPCPos_Quest	7.875	0.5	-2.125	0.0	185.0	0.0	1
Street_NPCPos_RamenStore	5.678	0.9	1.753	0.0	185.0	0.0	1
Street_NPCPos_TestS	6.761	0.3	-2.028	0.0	185.0	0.0	1
Street_NPCPos_TestL	9.04	0.5	-2.227	0.0	185.0	0.0	1
Street_NPCPos_Billy_Quest10020005	37.245	0.35	-1.786	0.0	0.0	0.0	1
Street_NPCPos_Anbi_Quest10020005	-22.37	0.36	-7.05	0.0	180.0	0.0	1
Street_NPCPos_Car_Quest10020005	37.43	0.75	3.26	0.0	270.0	0.0	1
Street_NPCPos_Temp_Quest10020005	20.275	0.35	-10.2	0.0	326.98425	0.0	1
Street_NPCPos_Billy_Quest10020006	-28.05087	0.5	-4.7	0.0	52.99999	0.0	1
Street_NPCPos_Anbi_Quest10020006	-26.5	0.5	-5.98	0.0	0.0	0.0	1
Street_NPCPos_Nocha_Quest10020008	-1.042	0.393	-3.014	0.0	90.0	0.0	1
Street_NPCPos_Temp_Quest10020015	19.36	0.393	1.37	0.0	29.52794	0.0	1
Street_NPCPos_Bangboo_Quest10020018	11.3	0.393	-0.25	0.0	180.0	0.0	1
Street_NPCPos_Temp_Quest10020020	-9.17	0.393	-10.86	0.0	0.0	0.0	1
Street_NPCPos_Temp_Quest10020021	6.67203	0.393	-8.174	0.0	84.99999	0.0	1
Street_NPCPos_BangbooA_Quest10020006	-16.869	0.729	-8.124	0.0	0.0	0.0	1
Street_NPCPos_BangbooB_Quest10020006	-17.556	0.729	-8.124	0.0	0.0	0.0	1
Street_NPCPos_BangbooC_Quest10020006	-16.186	0.729	-8.097	0.0	0.0	0.0	1
Street_CameraPos_Grocery	-16.866	0.98	-1.508	0.0	180.0	0.0	1
Street_CameraPos_RamenStore	2.48	2.45	-2.52	10.60003	45.5	0.0	1
Street_CameraPos_RamenStore_PC	2.67	2.4	-2.29	10.8	44.0	0.0	1
Street_CameraPos_Workshop	18.71	0.91	-9.14	10.60001	180.0	0.0	1
TriggerPos_1	35.5	0.31757	-4.5	0.0	270.0	0.0	1
Street_NPCPos_Grocery	-18.928	0.95	-9.358	0.0	324.60001	0.0	1
Street_NPCPos_TestBear	10.929	0.5	-2.392	0.0	185.0	0.0	1
Street_PlayerPos_FromGarage2	4.15	0.0	19.17	0.0	270.0	0.0	1
Street_NPCPos_ToGarage2	8.618	0.39287	19.235	0.0	270.0	0.0	1
Street_Passerby_A1	6.168	0.35	0.017	0.0	0.0	0.0	1
Street_Passerby_A2	7.0	0.48	-0.027	0.0	0.0	0.0	1
Street_Passerby_B1	14.832	0.35	1.667	0.0	169.99998	0.0	1
Street_Passerby_B2	15.41	0.35	1.09	0.0	240.0	0.0	1
Street_Passerby_C1	-27.068	0.35	5.609	0.0	230.92207	0.0	1
Street_Passerby_C2	-26.701	0.35	6.222	0.0	298.08884	0.0	1
Street_Passerby_D1	-12.857	0.35	-11.668	0.0	32.81414	0.0	1
Street_Passerby_D2	-12.635	0.35	-10.965	0.0	189.98178	0.0	1
Street_ObjectPos_08	-14.573	-0.013	-12.512	0.0	0.0	0.0	1
Street_ObjectPos_10	-14.303	1.375	-11.119	0.0	0.0	0.0	1
Street_ObjectPos_09	-13.948	0.092	-18.786	0.0	0.0	0.0	1
Street_Passerby_09	-5.95	0.35	11.106	0.0	32.66373	0.0	1
Street_Passerby_10	-5.734	0.35	12.094	0.0	176.94084	0.0	1
Street_Passerby_11	2.162	0.4	-9.208	0.0	86.23466	0.0	1
Street_Passerby_12	2.898	0.4	-9.705	0.0	344.81543	0.0	1
Street_Passerby_13	16.917	0.35	-10.73	0.0	196.76297	0.0	1
Street_Passerby_14	16.337	0.35	-10.233	0.0	150.0	0.0	1
Street_Passerby_15	21.459	0.36	-8.39	0.0	231.98558	0.0	1
Street_Passerby_16	20.742	0.35	-8.932	0.0	48.55833	0.0	1
Street_Passerby_17	15.15	0.35	7.51	0.0	212.18704	0.0	1
Street_Passerby_18	14.808	0.35	6.799	0.0	29.95915	0.0	1
Street_Passerby_19	-9.383	0.35	-0.624	0.0	261.22681	0.0	1
Street_Passerby_20	-10.141	0.35	-1.371	0.0	64.0559	0.0	1
Street_Passerby_21	-17.508	0.35	-0.558	0.0	339.64786	0.0	1
Street_Passerby_22	-17.19	0.35	0.057	0.0	286.36243	0.0	1
Street_Passerby_23	-11.63	0.35	-18.32	0.0	291.77817	0.0	1
Street_Passerby_24	-12.63	0.35	-18.43	0.0	27.8	0.0	1
Street_Passerby_25	-11.539	0.35	-17.535	0.0	234.79996	0.0	1
Street_Passerby_26	-13.04	0.35	-18.03	0.0	66.79999	0.0	1
Street_Passerby_27	-26.85	0.569	12.797	0.0	20.89114	0.0	1
Street_Passerby_28	-27.431	0.38	13.319	0.0	223.54056	0.0	1
Street_Passerby_29	22.296	0.35	-8.766	0.0	151.64432	0.0	1
Street_Passerby_30	22.839	0.528	-9.841	0.0	332.39041	0.0	1
Street_Passerby_31	-34.693	0.373	12.751	0.0	324.8782	0.0	1
Street_Passerby_32	-35.538	0.3793	13.14	0.0	116.70426	0.0	1
Street_NPCPos_Quest10020151	-4.574	0.3346	1.6568	0.0	10.32042	0.0	1
Street_NPCPos_Quest10020152	14.23	0.35	-9.95	0.0	0.0	0.0	1
Street_NPCPos_Quest10020153	11.12	0.4	-8.17	0.0	0.0	0.0	1
Street_NPCPos_Quest10020154	24.721	0.348	4.248	0.0	289.53577	0.0	1
Street_NPCPos_Quest10020155	-1.79	0.395	-21.504	0.0	321.61935	0.0	1
Street_NPCPos_Quest10020156	27.16	0.35	-1.49	0.0	190.0	0.0	1
Street_NPCPos_Quest10020157	3.28	0.35	1.465	0.0	90.0	0.0	1
Street_NPCPos_Quest10020158	1.35	0.4	-1.38	0.0	180.0	0.0	1
Street_Passerby_33	-26.297	0.35	-8.271	0.0	123.11625	0.0	1
Street_Passerby_34	-25.442	0.35	-8.919	0.0	318.86185	0.0	1
Street_Passerby_35	10.662	0.37	1.331	0.0	233.42654	0.0	1
Street_Passerby_36	10.038	0.36	1.146	0.0	193.91667	0.0	1
Street_Passerby_37	1.222	0.35	17.124	0.0	73.19746	0.0	1
Street_Passerby_38	2.177	0.35	17.239	0.0	295.93552	0.0	1
Street_Passerby_39	-7.65	0.35	-11.34	0.0	317.07599	0.0	1
Street_Passerby_40	-8.56	0.35	-10.89	0.0	62.40825	0.0	1
Street_Passerby_41	-21.485	0.35	-7.556	0.0	231.75189	0.0	1
Street_Passerby_42	-22.217	0.36	-7.046	0.0	135.27699	0.0	1
Street_Passerby_43	-26.552	0.355	0.922	0.0	329.71353	0.0	1
Street_Passerby_44	-26.563	0.36	1.809	0.0	203.36967	0.0	1
Street_Passerby_45	-29.2	0.39	-5.888	0.0	61.42846	0.0	1
Street_Passerby_46	-14.932	0.35	-29.664	0.0	79.99999	0.0	1
Street_Passerby_47	11.51	0.35	-13.93	0.0	209.63834	0.0	1
Street_Passerby_48	-22.751	0.36	-7.545	0.0	109.76276	0.0	1
Street_Passerby_49	2.386	0.4	-9.954	0.0	19.77401	0.0	1
Street_Passerby_50	3.13	0.4	-9.31	0.0	245.81375	0.0	1
Street_Passerby_51	-2.53	0.35	-29.03	0.0	20.00001	0.0	1
Street_ObjectPos_11	-6.0202	1.62	-36.027	0.0	0.0	0.0	1
Street_Passerby_52	-1.89	0.35	-29.04	0.0	330.0	0.0	1
Street_Passerby_53	-5.976	0.35	-1.683	0.0	295.77307	0.0	1
Street_Passerby_54	-6.768	0.35	-1.331	0.0	119.76264	0.0	1
Street_Passerby_55	2.566	0.35	-1.384	0.0	65.57031	0.0	1
Street_Passerby_56	3.203	0.35	-1.407	0.0	340.54376	0.0	1
Street_Passerby_57	-19.31	0.35	-7.24	0.0	50.0	0.0	1
Street_Passerby_58	-18.45	0.35	-6.99	0.0	270.0	0.0	1
Street_Passerby_59	-2.315	0.35	-25.478	0.0	240.0	0.0	1
Street_Passerby_60	-2.538	0.35	-26.063	0.0	20.00001	0.0	1
Street_Passerby_61	-4.613	0.3373	0.009	0.0	171.87192	0.0	1
Street_Passerby_62	-4.637	0.357	1.647	0.0	184.25121	0.0	1
Street_Passerby_63	16.305	0.35	-10.866	0.0	69.14664	0.0	1
Street_Passerby_64	17.0	0.35	-10.3	0.0	212.32573	0.0	1
Street_Passerby_65	9.307	0.38	-28.054	0.0	205.75116	0.0	1
